x,y,r,b,#
1301,3540,3,249,1
321,3279,3,253,2
2840,3230,4,255,3
2438,3020,3,254,4
2309,2778,4,250,5
2138,2507,2,246,6
2224,2274,3,251,7
1656,2216,3,252,8
1868,2023,3,248,9
1182,1903,1,247,10
1403,1789,1,246,11
2430,1656,2,248,12
865,1627,2,251,13
1499,1376,2,250,14
2123,1213,1,231,15
2219,1184,1,245,16
1325,1044,2,250,17
1908,379,2,249,18
3000,165,1,236,19
